dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.39,0.61,0.0,1000,1000,1,0.39,0.61,0.0,1000,0,1000
2018-01-04,0.401,0.599,0.0,1217,1214,1,0.401,0.599,0.0,1217,0,1217
2018-01-07,0.506,0.494,0.0,1354,1351,1,0.506,0.494,0.0,1354,0,1354
2018-01-10,0.446,0.554,0.0,1412,1473,0,0.446,0.554,0.0,1412,0,1412
2018-01-13,0.414,0.586,0.0,1420,1485,0,0.414,0.586,0.0,1420,513,906
2018-01-16,0.482,0.518,0.0,1170,1221,1,0.482,0.518,0.0,1261,718,542
2018-01-19,0.532,0.468,0.0,1145,1195,0,0.532,0.468,0.0,1249,888,360
2018-01-22,0.613,0.387,0.0,1086,1134,0,0.615,0.385,0.0,1230,454,776
2018-01-25,0.59,0.41,0.0,1129,1190,1,0.591,0.409,0.0,1261,203,1057
2018-01-28,0.572,0.428,0.0,1195,1283,0,0.573,0.427,0.0,1323,596,726
2018-01-31,0.54,0.46,0.0,1055,1156,1,0.541,0.459,0.0,1237,772,465
2018-02-03,0.551,0.449,0.0,925,1006,1,0.551,0.449,0.0,1180,882,298
2018-02-06,0.643,0.357,0.0,712,764,0,0.634,0.366,0.0,1111,399,711
2018-02-09,0.635,0.365,0.0,851,917,0,0.63,0.37,0.0,1250,187,1063
2018-02-12,0.54,0.46,0.0,874,935,1,0.542,0.458,0.0,1279,70,1209
2018-02-15,0.552,0.448,0.0,985,1043,1,0.553,0.447,0.0,1433,25,1407
2018-02-18,0.592,0.408,0.0,1044,1086,1,0.592,0.408,0.0,1517,9,1508
2018-02-21,0.675,0.325,0.0,1009,1019,0,0.675,0.325,0.0,1466,4,1462
2018-02-24,0.646,0.354,0.0,951,980,1,0.646,0.354,0.0,1383,500,883
2018-02-27,0.632,0.368,0.0,997,1023,1,0.632,0.368,0.0,1426,833,592
2018-03-02,0.585,0.415,0.0,1021,1026,0,0.585,0.415,0.0,1440,415,1024
2018-03-05,0.595,0.405,0.0,1049,1040,0,0.595,0.405,0.0,1468,713,754
2018-03-08,0.603,0.397,0.0,879,877,1,0.603,0.397,0.0,1345,889,456
2018-03-11,0.582,0.418,0.0,843,843,1,0.582,0.418,0.0,1327,1003,324
2018-03-14,0.586,0.414,0.0,786,780,1,0.586,0.414,0.0,1305,1087,218
2018-03-17,0.618,0.382,0.0,725,716,1,0.618,0.382,0.0,1288,1157,130
2018-03-20,0.67,0.33,0.0,740,700,0,0.67,0.33,0.0,1291,1204,87
2018-03-23,0.701,0.299,0.0,728,684,1,0.701,0.299,0.0,1289,597,691
2018-03-26,0.679,0.321,0.0,689,647,0,0.679,0.321,0.0,1253,783,470
2018-03-29,0.671,0.329,0.0,611,559,1,0.67,0.33,0.0,1200,883,316
2018-04-01,0.646,0.354,0.0,556,510,0,0.646,0.354,0.0,1171,981,190
2018-04-04,0.631,0.369,0.0,581,531,1,0.631,0.369,0.0,1179,1059,120
2018-04-07,0.602,0.398,0.0,562,515,0,0.608,0.392,0.0,1176,447,728
2018-04-10,0.523,0.477,0.0,572,531,1,0.532,0.468,0.0,1188,176,1012
2018-04-13,0.483,0.517,0.0,694,648,1,0.487,0.513,0.0,1402,62,1339
2018-04-16,0.512,0.488,0.0,711,665,0,0.513,0.487,0.0,1435,21,1413
2018-04-19,0.503,0.497,0.0,730,687,1,0.504,0.496,0.0,1473,10,1462
2018-04-22,0.49,0.51,0.0,809,766,1,0.49,0.51,0.0,1632,4,1627
2018-04-25,0.515,0.485,0.0,847,803,1,0.515,0.485,0.0,1709,1,1707
2018-04-28,0.446,0.554,0.0,853,814,1,0.446,0.554,0.0,1720,0,1719
2018-05-01,0.409,0.591,0.0,837,798,1,0.409,0.591,0.0,1689,0,1688
2018-05-04,0.383,0.617,0.0,959,920,1,0.383,0.617,0.0,1933,0,1933
2018-05-07,0.369,0.631,0.0,920,881,0,0.369,0.631,0.0,1854,0,1854
2018-05-10,0.408,0.592,0.0,914,876,0,0.408,0.592,0.0,1842,494,1348
2018-05-13,0.439,0.561,0.0,860,826,0,0.439,0.561,0.0,1762,836,925
2018-05-16,0.456,0.544,0.0,841,810,1,0.456,0.544,0.0,1743,1078,664
2018-05-19,0.502,0.498,0.0,839,808,0,0.502,0.498,0.0,1741,1343,398
2018-05-22,0.554,0.446,0.0,819,785,1,0.554,0.446,0.0,1732,1440,291
2018-05-25,0.605,0.395,0.0,740,703,1,0.605,0.395,0.0,1703,1516,187
2018-05-28,0.603,0.397,0.0,700,655,0,0.603,0.397,0.0,1693,1559,133
2018-05-31,0.539,0.461,0.0,728,684,0,0.544,0.456,0.0,1699,741,957
2018-06-03,0.498,0.502,0.0,762,723,0,0.502,0.498,0.0,1744,339,1405
2018-06-06,0.58,0.42,0.0,753,714,0,0.585,0.415,0.0,1727,194,1533
2018-06-09,0.615,0.385,0.0,751,711,0,0.618,0.382,0.0,1722,631,1090
2018-06-12,0.651,0.349,0.0,653,613,1,0.653,0.347,0.0,1580,896,683
2018-06-15,0.668,0.332,0.0,639,601,1,0.669,0.331,0.0,1566,1081,484
2018-06-18,0.65,0.35,0.0,646,606,0,0.651,0.349,0.0,1571,1271,299
2018-06-21,0.631,0.369,0.0,667,633,1,0.632,0.368,0.0,1581,1355,226
2018-06-24,0.639,0.361,0.0,583,543,0,0.639,0.361,0.0,1552,1415,136
2018-06-27,0.679,0.321,0.0,580,532,1,0.679,0.321,0.0,1551,1460,91
2018-06-30,0.681,0.319,0.0,604,553,0,0.681,0.319,0.0,1555,682,872
2018-07-03,0.678,0.322,0.0,628,578,0,0.678,0.322,0.0,1589,302,1287
2018-07-06,0.566,0.434,0.0,623,570,1,0.572,0.428,0.0,1578,110,1468
2018-07-09,0.63,0.37,0.0,641,588,0,0.634,0.366,0.0,1621,63,1558
2018-07-12,0.627,0.373,0.0,589,536,1,0.629,0.371,0.0,1495,640,854
2018-07-15,0.559,0.441,0.0,599,547,0,0.565,0.435,0.0,1510,282,1227
2018-07-18,0.571,0.429,0.0,688,621,0,0.573,0.427,0.0,1691,101,1589
2018-07-21,0.608,0.392,0.0,661,589,1,0.61,0.39,0.0,1630,53,1577
2018-07-24,0.597,0.403,0.0,709,621,1,0.598,0.402,0.0,1744,27,1716
2018-07-27,0.612,0.388,0.0,704,617,1,0.612,0.388,0.0,1734,11,1722
2018-07-30,0.606,0.394,0.0,702,612,0,0.606,0.394,0.0,1727,445,1281
2018-08-02,0.61,0.39,0.0,651,564,1,0.61,0.39,0.0,1635,777,857
2018-08-05,0.586,0.414,0.0,615,539,1,0.586,0.414,0.0,1587,998,588
2018-08-08,0.586,0.414,0.0,558,488,1,0.586,0.414,0.0,1533,1134,398
2018-08-11,0.652,0.348,0.0,513,440,1,0.652,0.348,0.0,1500,1258,242
2018-08-14,0.672,0.328,0.0,483,400,0,0.674,0.326,0.0,1486,575,911
2018-08-17,0.599,0.401,0.0,523,438,0,0.606,0.394,0.0,1561,219,1342
2018-08-20,0.629,0.371,0.0,509,424,1,0.632,0.368,0.0,1527,96,1430
2018-08-23,0.654,0.346,0.0,505,417,1,0.656,0.344,0.0,1516,46,1470
2018-08-26,0.682,0.318,0.0,516,423,1,0.683,0.317,0.0,1546,17,1529
2018-08-29,0.641,0.359,0.0,544,447,0,0.641,0.359,0.0,1630,6,1624
2018-09-01,0.634,0.366,0.0,550,451,1,0.634,0.366,0.0,1649,3,1646
2018-09-04,0.667,0.333,0.0,556,453,0,0.667,0.333,0.0,1665,423,1241
2018-09-07,0.705,0.295,0.0,469,374,1,0.705,0.295,0.0,1472,686,786
2018-09-10,0.731,0.269,0.0,445,348,1,0.731,0.269,0.0,1432,874,558
2018-09-13,0.692,0.308,0.0,455,356,0,0.692,0.308,0.0,1444,1052,392
2018-09-16,0.67,0.33,0.0,467,370,1,0.669,0.331,0.0,1455,593,862
2018-09-19,0.491,0.509,0.0,454,358,1,0.506,0.494,0.0,1430,246,1184
2018-09-22,0.537,0.463,0.0,511,401,0,0.544,0.456,0.0,1577,117,1460
2018-09-25,0.43,0.57,0.0,473,370,1,0.434,0.566,0.0,1468,49,1418
2018-09-28,0.488,0.512,0.0,489,383,1,0.491,0.509,0.0,1517,27,1490
2018-10-01,0.505,0.495,0.0,492,384,0,0.506,0.494,0.0,1526,12,1513
2018-10-04,0.514,0.486,0.0,483,377,1,0.515,0.485,0.0,1497,7,1490
2018-10-07,0.591,0.409,0.0,485,379,1,0.591,0.409,0.0,1504,4,1500
2018-10-10,0.589,0.411,0.0,486,380,0,0.59,0.41,0.0,1508,440,1067
2018-10-13,0.607,0.393,0.0,446,347,0,0.607,0.393,0.0,1421,784,636
2018-10-16,0.504,0.496,0.0,463,360,1,0.505,0.495,0.0,1444,1018,425
2018-10-19,0.545,0.455,0.0,456,355,0,0.538,0.462,0.0,1438,415,1022
2018-10-22,0.528,0.472,0.0,459,357,1,0.524,0.476,0.0,1444,230,1214
2018-10-25,0.546,0.454,0.0,455,354,1,0.544,0.456,0.0,1434,111,1322
2018-10-28,0.573,0.427,0.0,460,357,0,0.572,0.428,0.0,1447,64,1383
