dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.509,0.491,0.0,1000,1000,1,0.509,0.491,0.0,1000,0,1000
2018-01-03,0.439,0.561,0.0,1170,1179,1,0.439,0.561,0.0,1170,0,1170
2018-01-05,0.471,0.529,0.0,1259,1270,1,0.471,0.529,0.0,1259,0,1259
2018-01-07,0.474,0.526,0.0,1333,1351,0,0.474,0.526,0.0,1333,0,1333
2018-01-09,0.438,0.562,0.0,1374,1426,1,0.438,0.562,0.0,1374,0,1374
2018-01-11,0.428,0.572,0.0,1339,1400,0,0.428,0.572,0.0,1339,0,1339
2018-01-13,0.465,0.535,0.0,1410,1485,0,0.465,0.535,0.0,1410,0,1410
2018-01-15,0.472,0.528,0.0,1399,1481,0,0.472,0.528,0.0,1399,382,1017
2018-01-17,0.495,0.505,0.0,1028,1076,0,0.495,0.505,0.0,1129,573,556
2018-01-19,0.541,0.459,0.0,1138,1195,0,0.545,0.455,0.0,1189,319,869
2018-01-21,0.566,0.434,0.0,1174,1230,0,0.569,0.431,0.0,1217,190,1026
2018-01-23,0.535,0.465,0.0,1048,1098,1,0.538,0.462,0.0,1106,500,606
2018-01-25,0.525,0.475,0.0,1126,1190,1,0.526,0.474,0.0,1151,721,429
2018-01-27,0.542,0.458,0.0,1133,1204,0,0.549,0.451,0.0,1154,442,711
2018-01-29,0.513,0.487,0.0,1191,1294,0,0.518,0.482,0.0,1190,687,502
2018-01-31,0.501,0.499,0.0,1058,1156,1,0.504,0.496,0.0,1134,834,299
2018-02-02,0.497,0.503,0.0,881,959,0,0.499,0.501,0.0,1084,911,172
2018-02-04,0.504,0.496,0.0,893,963,1,0.506,0.494,0.0,1086,976,110
2018-02-06,0.508,0.492,0.0,712,764,0,0.509,0.491,0.0,1064,1007,56
2018-02-08,0.506,0.494,0.0,827,886,0,0.507,0.493,0.0,1073,440,632
2018-02-10,0.474,0.526,0.0,888,955,0,0.478,0.522,0.0,1119,164,954
2018-02-12,0.467,0.533,0.0,872,935,1,0.469,0.531,0.0,1102,473,629
2018-02-14,0.532,0.468,0.0,918,982,0,0.531,0.469,0.0,1135,219,916
2018-02-16,0.561,0.439,0.0,994,1050,1,0.56,0.44,0.0,1211,107,1104
2018-02-18,0.611,0.389,0.0,1041,1086,0,0.61,0.39,0.0,1264,40,1224
2018-02-20,0.623,0.377,0.0,1071,1084,0,0.623,0.377,0.0,1298,23,1275
2018-02-22,0.588,0.412,0.0,969,980,0,0.588,0.412,0.0,1177,411,765
2018-02-24,0.553,0.447,0.0,955,980,1,0.553,0.447,0.0,1166,644,522
2018-02-26,0.528,0.472,0.0,960,990,0,0.527,0.473,0.0,1169,328,840
2018-02-28,0.6,0.4,0.0,1003,1021,0,0.598,0.402,0.0,1206,143,1063
2018-03-02,0.633,0.367,0.0,1019,1026,1,0.632,0.368,0.0,1223,84,1139
2018-03-04,0.645,0.355,0.0,1032,1027,1,0.644,0.356,0.0,1237,40,1197
2018-03-06,0.595,0.405,0.0,1003,997,0,0.595,0.405,0.0,1204,422,782
2018-03-08,0.561,0.439,0.0,879,877,1,0.561,0.439,0.0,1107,623,484
2018-03-10,0.539,0.461,0.0,847,850,1,0.539,0.461,0.0,1090,767,323
2018-03-12,0.527,0.473,0.0,854,852,1,0.527,0.473,0.0,1093,865,227
2018-03-14,0.512,0.488,0.0,785,780,1,0.512,0.488,0.0,1074,927,146
2018-03-16,0.507,0.493,0.0,744,737,1,0.507,0.493,0.0,1066,969,97
2018-03-18,0.476,0.524,0.0,702,695,0,0.476,0.524,0.0,1061,999,62
2018-03-20,0.634,0.366,0.0,722,700,0,0.634,0.366,0.0,1063,499,563
2018-03-22,0.686,0.314,0.0,730,707,0,0.685,0.315,0.0,1069,241,828
2018-03-24,0.634,0.366,0.0,721,694,0,0.633,0.367,0.0,1059,559,500
2018-03-26,0.585,0.415,0.0,672,647,1,0.585,0.415,0.0,1025,722,303
2018-03-28,0.585,0.415,0.0,636,605,1,0.584,0.416,0.0,1009,804,204
2018-03-30,0.563,0.437,0.0,552,522,0,0.563,0.437,0.0,982,866,115
2018-04-01,0.554,0.446,0.0,538,510,0,0.554,0.446,0.0,979,903,76
2018-04-03,0.5,0.5,0.0,573,541,1,0.519,0.481,0.0,984,352,631
2018-04-05,0.548,0.452,0.0,537,507,0,0.563,0.437,0.0,944,208,735
2018-04-07,0.54,0.46,0.0,545,515,1,0.548,0.452,0.0,955,111,843
2018-04-09,0.522,0.478,0.0,565,538,0,0.526,0.474,0.0,986,49,936
2018-04-11,0.526,0.474,0.0,573,548,1,0.529,0.471,0.0,998,29,969
2018-04-13,0.55,0.45,0.0,674,648,0,0.55,0.45,0.0,1170,13,1157
2018-04-15,0.569,0.431,0.0,693,666,0,0.57,0.43,0.0,1202,7,1195
2018-04-17,0.551,0.449,0.0,678,653,1,0.552,0.448,0.0,1176,434,742
2018-04-19,0.547,0.453,0.0,708,687,0,0.548,0.452,0.0,1209,255,954
2018-04-21,0.53,0.47,0.0,770,750,1,0.531,0.469,0.0,1292,121,1171
2018-04-23,0.505,0.495,0.0,793,779,1,0.505,0.495,0.0,1328,55,1272
2018-04-25,0.489,0.511,0.0,820,803,0,0.49,0.51,0.0,1371,29,1342
2018-04-27,0.469,0.531,0.0,823,810,1,0.469,0.531,0.0,1376,17,1359
2018-04-29,0.469,0.531,0.0,846,832,0,0.469,0.531,0.0,1413,475,937
2018-05-01,0.472,0.528,0.0,812,798,0,0.472,0.528,0.0,1375,230,1145
2018-05-03,0.442,0.558,0.0,885,878,1,0.442,0.558,0.0,1479,100,1379
2018-05-05,0.425,0.575,0.0,943,941,0,0.425,0.575,0.0,1569,42,1527
2018-05-07,0.414,0.586,0.0,886,881,0,0.414,0.586,0.0,1477,19,1457
2018-05-09,0.446,0.554,0.0,869,865,1,0.446,0.554,0.0,1449,10,1438
2018-05-11,0.44,0.56,0.0,830,827,0,0.44,0.56,0.0,1384,448,936
2018-05-13,0.454,0.546,0.0,827,826,0,0.454,0.546,0.0,1380,743,637
2018-05-15,0.464,0.536,0.0,838,837,1,0.464,0.536,0.0,1389,941,447
2018-05-17,0.45,0.55,0.0,804,804,1,0.45,0.55,0.0,1371,1072,298
2018-05-19,0.462,0.538,0.0,807,808,0,0.462,0.538,0.0,1372,1163,208
2018-05-21,0.466,0.534,0.0,821,821,1,0.466,0.534,0.0,1375,1228,147
2018-05-23,0.484,0.516,0.0,725,718,1,0.484,0.516,0.0,1358,1267,90
2018-05-25,0.486,0.514,0.0,709,703,1,0.486,0.514,0.0,1356,1294,61
2018-05-27,0.491,0.509,0.0,689,683,1,0.491,0.509,0.0,1354,1316,37
2018-05-29,0.56,0.44,0.0,669,657,0,0.572,0.428,0.0,1353,728,625
2018-05-31,0.576,0.424,0.0,693,684,1,0.582,0.418,0.0,1376,373,1002
2018-06-02,0.5,0.5,0.0,707,701,1,0.505,0.495,0.0,1396,163,1233
2018-06-04,0.452,0.548,0.0,718,714,0,0.454,0.546,0.0,1414,84,1330
2018-06-06,0.445,0.555,0.0,717,714,1,0.446,0.554,0.0,1414,43,1370
2018-06-08,0.491,0.509,0.0,716,713,0,0.492,0.508,0.0,1412,26,1386
2018-06-10,0.494,0.506,0.0,660,655,0,0.495,0.505,0.0,1303,402,901
2018-06-12,0.499,0.501,0.0,619,613,1,0.5,0.5,0.0,1247,630,617
2018-06-14,0.503,0.497,0.0,600,593,0,0.503,0.497,0.0,1228,781,447
2018-06-16,0.502,0.498,0.0,598,592,0,0.502,0.498,0.0,1226,927,299
2018-06-18,0.47,0.53,0.0,612,606,0,0.474,0.526,0.0,1234,411,822
2018-06-20,0.456,0.544,0.0,631,628,1,0.458,0.542,0.0,1259,208,1051
2018-06-22,0.463,0.537,0.0,589,584,0,0.464,0.536,0.0,1189,106,1083
2018-06-24,0.52,0.48,0.0,550,543,1,0.521,0.479,0.0,1116,53,1063
2018-06-26,0.546,0.454,0.0,555,545,0,0.546,0.454,0.0,1127,31,1096
2018-06-28,0.584,0.416,0.0,538,528,1,0.584,0.416,0.0,1094,16,1078
2018-06-30,0.589,0.411,0.0,567,553,1,0.589,0.411,0.0,1151,7,1143
2018-07-02,0.609,0.391,0.0,580,568,1,0.609,0.391,0.0,1178,3,1175
2018-07-04,0.56,0.44,0.0,587,574,1,0.56,0.44,0.0,1191,1,1189
2018-07-06,0.496,0.504,0.0,584,570,1,0.496,0.504,0.0,1186,0,1185
2018-07-08,0.496,0.504,0.0,608,596,0,0.496,0.504,0.0,1235,0,1234
2018-07-10,0.509,0.491,0.0,573,558,0,0.509,0.491,0.0,1164,447,716
2018-07-12,0.515,0.485,0.0,551,536,0,0.515,0.485,0.0,1136,656,480
2018-07-14,0.513,0.487,0.0,553,539,0,0.513,0.487,0.0,1138,837,301
2018-07-16,0.484,0.516,0.0,583,570,0,0.489,0.511,0.0,1154,336,818
2018-07-18,0.562,0.438,0.0,641,621,0,0.562,0.438,0.0,1236,147,1088
2018-07-20,0.658,0.342,0.0,623,593,0,0.657,0.343,0.0,1204,69,1135
2018-07-22,0.601,0.399,0.0,625,598,1,0.6,0.4,0.0,1208,482,726
2018-07-24,0.573,0.427,0.0,659,621,0,0.572,0.428,0.0,1248,766,482
2018-07-26,0.596,0.404,0.0,661,624,1,0.596,0.404,0.0,1250,377,872
2018-07-28,0.62,0.38,0.0,662,622,1,0.62,0.38,0.0,1250,202,1048
2018-07-30,0.6,0.4,0.0,653,612,0,0.6,0.4,0.0,1236,115,1121
2018-08-01,0.575,0.425,0.0,609,569,0,0.575,0.425,0.0,1162,480,681
2018-08-03,0.56,0.44,0.0,594,554,1,0.56,0.44,0.0,1144,681,463
2018-08-05,0.537,0.463,0.0,573,539,0,0.537,0.463,0.0,1128,822,306
2018-08-07,0.539,0.461,0.0,559,523,1,0.539,0.461,0.0,1120,898,222
2018-08-09,0.526,0.474,0.0,518,485,1,0.526,0.474,0.0,1104,954,149
2018-08-11,0.556,0.444,0.0,475,440,1,0.556,0.444,0.0,1092,991,100
2018-08-13,0.58,0.42,0.0,475,436,1,0.58,0.42,0.0,1092,1025,67
2018-08-15,0.601,0.399,0.0,471,429,1,0.601,0.399,0.0,1091,1046,44
2018-08-17,0.565,0.435,0.0,479,438,0,0.565,0.435,0.0,1092,1061,30
2018-08-19,0.55,0.45,0.0,476,435,1,0.55,0.45,0.0,1092,1071,20
2018-08-21,0.6,0.4,0.0,459,417,0,0.601,0.399,0.0,1091,541,549
2018-08-23,0.628,0.372,0.0,461,417,1,0.628,0.372,0.0,1093,260,833
2018-08-25,0.653,0.347,0.0,476,430,0,0.652,0.348,0.0,1121,128,993
