dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.369,0.631,0.0,999,1000,1,0.369,0.631,0.0,999,0,999
2018-01-05,0.303,0.697,0.0,1274,1270,1,0.303,0.697,0.0,1274,0,1274
2018-01-09,0.259,0.741,0.0,1464,1426,0,0.259,0.741,0.0,1464,0,1464
2018-01-13,0.233,0.767,0.0,1535,1485,0,0.233,0.767,0.0,1535,506,1029
2018-01-17,0.254,0.746,0.0,1110,1076,0,0.254,0.746,0.0,1251,712,538
2018-01-21,0.287,0.713,0.0,1270,1230,1,0.287,0.713,0.0,1328,917,411
2018-01-25,0.325,0.675,0.0,1229,1190,0,0.325,0.675,0.0,1315,1058,257
2018-01-29,0.374,0.626,0.0,1331,1294,1,0.385,0.615,0.0,1336,588,748
2018-02-02,0.34,0.66,0.0,986,959,0,0.348,0.652,0.0,1142,758,384
2018-02-06,0.42,0.58,0.0,789,764,0,0.433,0.567,0.0,1066,420,645
2018-02-10,0.374,0.626,0.0,985,955,0,0.382,0.618,0.0,1226,721,505
2018-02-14,0.476,0.524,0.0,1016,982,0,0.467,0.533,0.0,1242,296,945
2018-02-18,0.589,0.411,0.0,1145,1086,0,0.581,0.419,0.0,1361,119,1242
2018-02-22,0.584,0.416,0.0,1063,980,0,0.579,0.421,0.0,1272,577,694
2018-02-26,0.549,0.451,0.0,1053,990,0,0.546,0.454,0.0,1265,858,406
2018-03-02,0.578,0.422,0.0,1118,1026,0,0.576,0.424,0.0,1290,1009,280
2018-03-06,0.591,0.409,0.0,1098,997,1,0.59,0.41,0.0,1285,1088,197
2018-03-10,0.545,0.455,0.0,927,850,1,0.544,0.456,0.0,1254,1142,112
2018-03-14,0.547,0.453,0.0,860,780,1,0.546,0.454,0.0,1246,1170,75
2018-03-18,0.56,0.44,0.0,769,695,0,0.56,0.44,0.0,1238,1190,47
2018-03-22,0.693,0.307,0.0,810,707,1,0.737,0.263,0.0,1241,719,521
2018-03-26,0.668,0.332,0.0,746,647,0,0.698,0.302,0.0,1200,874,326
2018-03-30,0.678,0.322,0.0,617,522,1,0.695,0.305,0.0,1144,980,163
2018-04-03,0.667,0.333,0.0,642,541,1,0.68,0.32,0.0,1151,1028,123
2018-04-07,0.638,0.362,0.0,609,515,0,0.647,0.353,0.0,1144,1058,86
2018-04-11,0.591,0.409,0.0,634,548,0,0.599,0.401,0.0,1148,490,657
2018-04-15,0.572,0.428,0.0,765,666,0,0.576,0.424,0.0,1284,253,1030
2018-04-19,0.427,0.573,0.0,782,687,1,0.435,0.565,0.0,1305,96,1209
2018-04-23,0.368,0.632,0.0,882,779,1,0.372,0.628,0.0,1460,39,1420
2018-04-27,0.459,0.541,0.0,918,810,1,0.46,0.54,0.0,1517,16,1500
2018-05-01,0.395,0.605,0.0,905,798,1,0.395,0.605,0.0,1496,6,1490
2018-05-05,0.433,0.567,0.0,1061,941,0,0.433,0.567,0.0,1752,3,1749
2018-05-09,0.437,0.563,0.0,977,865,0,0.437,0.563,0.0,1615,622,993
2018-05-13,0.432,0.568,0.0,930,826,1,0.432,0.568,0.0,1567,981,585
2018-05-17,0.428,0.572,0.0,904,804,0,0.428,0.572,0.0,1551,1150,400
2018-05-21,0.415,0.585,0.0,923,821,1,0.415,0.585,0.0,1559,1274,284
