dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.379,0.621,0.0,1000,1000,1,0.379,0.621,0.0,1000,0,1000
2018-01-03,0.246,0.754,0.0,1181,1179,1,0.246,0.754,0.0,1181,0,1181
2018-01-05,0.728,0.272,0.0,1276,1270,1,0.728,0.272,0.0,1276,0,1276
2018-01-07,0.53,0.47,0.0,1334,1351,0,0.53,0.47,0.0,1334,460,874
2018-01-09,0.278,0.722,0.0,1356,1426,0,0.317,0.683,0.0,1349,103,1245
2018-01-11,0.314,0.686,0.0,1335,1400,0,0.343,0.657,0.0,1326,377,948
2018-01-13,0.247,0.753,0.0,1415,1485,1,0.264,0.736,0.0,1381,114,1267
2018-01-15,0.296,0.704,0.0,1413,1481,0,0.31,0.69,0.0,1379,398,981
2018-01-17,0.309,0.691,0.0,1027,1076,0,0.314,0.686,0.0,1112,61,1050
2018-01-19,0.605,0.395,0.0,1141,1195,1,0.595,0.405,0.0,1227,9,1218
2018-01-21,0.589,0.411,0.0,1177,1230,0,0.581,0.419,0.0,1267,291,975
2018-01-23,0.674,0.326,0.0,1051,1098,0,0.656,0.344,0.0,1162,44,1117
2018-01-25,0.625,0.375,0.0,1123,1190,0,0.611,0.389,0.0,1239,312,927
2018-01-27,0.349,0.651,0.0,1127,1204,0,0.394,0.606,0.0,1243,48,1195
2018-01-29,0.363,0.637,0.0,1204,1294,0,0.397,0.603,0.0,1320,332,987
2018-01-31,0.385,0.615,0.0,1073,1156,1,0.411,0.589,0.0,1212,529,683
2018-02-02,0.611,0.389,0.0,892,959,0,0.541,0.459,0.0,1097,77,1020
2018-02-04,0.587,0.413,0.0,907,963,0,0.534,0.466,0.0,1112,310,801
2018-02-06,0.349,0.651,0.0,725,764,0,0.388,0.612,0.0,950,47,902
2018-02-08,0.456,0.544,0.0,841,886,1,0.459,0.541,0.0,1095,6,1088
2018-02-10,0.466,0.534,0.0,903,955,0,0.469,0.531,0.0,1176,270,905
2018-02-12,0.716,0.284,0.0,888,935,0,0.675,0.325,0.0,1160,41,1119
2018-02-14,0.705,0.295,0.0,936,982,1,0.698,0.302,0.0,1220,6,1214
2018-02-16,0.8,0.2,0.0,1023,1050,1,0.798,0.202,0.0,1333,0,1332
2018-02-18,0.833,0.167,0.0,1084,1086,0,0.832,0.168,0.0,1413,0,1412
2018-02-20,0.768,0.232,0.0,1138,1084,0,0.767,0.233,0.0,1483,326,1156
2018-02-22,0.61,0.39,0.0,1030,980,1,0.61,0.39,0.0,1373,680,693
2018-02-24,0.576,0.424,0.0,1014,980,1,0.576,0.424,0.0,1363,830,532
2018-02-26,0.775,0.225,0.0,1019,990,0,0.682,0.318,0.0,1365,133,1231
2018-02-28,0.757,0.243,0.0,1081,1021,0,0.686,0.314,0.0,1432,418,1014
2018-03-02,0.846,0.154,0.0,1104,1026,0,0.806,0.194,0.0,1452,75,1377
