dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.308,0.692,0.0,1000,1000,1,0.308,0.692,0.0,1000,0,1000
2018-01-05,0.254,0.746,0.0,1282,1270,1,0.254,0.746,0.0,1282,0,1282
2018-01-09,0.255,0.745,0.0,1493,1426,0,0.255,0.745,0.0,1493,327,1166
2018-01-13,0.271,0.729,0.0,1566,1485,1,0.271,0.729,0.0,1550,594,956
2018-01-17,0.332,0.668,0.0,1134,1076,0,0.313,0.687,0.0,1286,86,1200
2018-01-21,0.345,0.655,0.0,1297,1230,0,0.33,0.67,0.0,1459,386,1073
2018-01-25,0.285,0.715,0.0,1252,1190,0,0.291,0.709,0.0,1422,56,1366
2018-01-29,0.316,0.684,0.0,1362,1294,0,0.32,0.68,0.0,1541,379,1161
2018-02-02,0.334,0.666,0.0,1009,959,1,0.337,0.663,0.0,1240,566,674
2018-02-06,0.476,0.524,0.0,807,764,0,0.427,0.573,0.0,1105,83,1022
2018-02-10,0.693,0.307,0.0,1007,955,0,0.673,0.327,0.0,1359,22,1336
2018-02-14,0.736,0.264,0.0,1046,982,1,0.733,0.267,0.0,1411,3,1407
2018-02-18,0.722,0.278,0.0,1211,1086,0,0.72,0.28,0.0,1632,455,1177
2018-02-22,0.685,0.315,0.0,1139,980,1,0.683,0.317,0.0,1562,692,870
2018-02-26,0.752,0.248,0.0,1120,990,0,0.724,0.276,0.0,1547,106,1440
2018-03-02,0.827,0.173,0.0,1212,1026,1,0.819,0.181,0.0,1662,16,1645
2018-03-06,0.753,0.247,0.0,1203,997,0,0.747,0.253,0.0,1648,366,1282
2018-03-10,0.726,0.274,0.0,1009,850,1,0.722,0.278,0.0,1442,658,783
2018-03-14,0.681,0.319,0.0,944,780,1,0.678,0.322,0.0,1391,815,576
2018-03-18,0.818,0.182,0.0,847,695,0,0.761,0.239,0.0,1332,165,1167
2018-03-22,0.782,0.218,0.0,929,707,0,0.741,0.259,0.0,1434,436,997
2018-03-26,0.725,0.275,0.0,857,647,1,0.693,0.307,0.0,1356,632,723
2018-03-30,0.71,0.29,0.0,712,522,1,0.694,0.306,0.0,1232,919,313
2018-04-03,0.672,0.328,0.0,741,541,1,0.659,0.341,0.0,1245,988,256
2018-04-07,0.311,0.689,0.0,703,515,0,0.498,0.502,0.0,1231,215,1016
2018-04-11,0.413,0.587,0.0,754,548,1,0.446,0.554,0.0,1288,34,1254
2018-04-15,0.467,0.533,0.0,915,666,0,0.493,0.507,0.0,1554,354,1199
2018-04-19,0.327,0.673,0.0,939,687,0,0.355,0.645,0.0,1584,54,1529
2018-04-23,0.269,0.731,0.0,1068,779,1,0.275,0.725,0.0,1790,8,1781
2018-04-27,0.273,0.727,0.0,1112,810,1,0.274,0.726,0.0,1864,1,1863
2018-05-01,0.283,0.717,0.0,1095,798,1,0.284,0.716,0.0,1835,0,1835
2018-05-05,0.31,0.69,0.0,1301,941,0,0.31,0.69,0.0,2181,465,1715
2018-05-09,0.362,0.638,0.0,1196,865,1,0.362,0.638,0.0,2042,798,1243
2018-05-13,0.41,0.59,0.0,1141,826,1,0.411,0.589,0.0,1984,1048,936
2018-05-17,0.279,0.721,0.0,1110,804,0,0.33,0.67,0.0,1959,162,1796
2018-05-21,0.33,0.67,0.0,1132,821,0,0.371,0.629,0.0,1995,547,1448
