dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.503,0.497,0.0,1000,1000,1,0.503,0.497,0.0,1000,0,1000
2018-01-03,0.461,0.539,0.0,1170,1179,1,0.461,0.539,0.0,1170,0,1170
2018-01-05,0.47,0.53,0.0,1259,1270,1,0.47,0.53,0.0,1259,0,1259
2018-01-07,0.453,0.547,0.0,1333,1351,0,0.453,0.547,0.0,1333,0,1333
2018-01-09,0.426,0.574,0.0,1381,1426,1,0.426,0.574,0.0,1381,0,1381
2018-01-11,0.458,0.542,0.0,1347,1400,0,0.458,0.542,0.0,1347,0,1347
2018-01-13,0.52,0.48,0.0,1416,1485,0,0.52,0.48,0.0,1416,0,1416
2018-01-15,0.531,0.469,0.0,1403,1481,0,0.531,0.469,0.0,1403,357,1046
2018-01-17,0.545,0.455,0.0,1034,1076,0,0.545,0.455,0.0,1128,542,586
2018-01-19,0.534,0.466,0.0,1145,1195,0,0.534,0.466,0.0,1190,755,435
2018-01-21,0.524,0.476,0.0,1181,1230,1,0.524,0.476,0.0,1204,923,281
2018-01-23,0.524,0.476,0.0,1054,1098,0,0.524,0.476,0.0,1174,527,646
2018-01-25,0.556,0.444,0.0,1133,1190,0,0.561,0.439,0.0,1222,318,904
2018-01-27,0.582,0.418,0.0,1138,1204,1,0.585,0.415,0.0,1227,163,1064
2018-01-29,0.567,0.433,0.0,1193,1294,0,0.568,0.432,0.0,1277,83,1194
2018-01-31,0.537,0.463,0.0,1059,1156,0,0.538,0.462,0.0,1143,408,735
2018-02-02,0.557,0.443,0.0,882,959,0,0.559,0.441,0.0,1021,248,772
2018-02-04,0.558,0.442,0.0,896,963,0,0.559,0.441,0.0,1032,450,581
2018-02-06,0.594,0.406,0.0,715,764,0,0.593,0.407,0.0,915,198,717
2018-02-08,0.507,0.493,0.0,832,886,1,0.51,0.49,0.0,1032,82,950
2018-02-10,0.5,0.5,0.0,892,955,0,0.501,0.499,0.0,1101,442,659
2018-02-12,0.505,0.495,0.0,877,935,0,0.505,0.495,0.0,1090,169,921
2018-02-14,0.518,0.482,0.0,923,982,1,0.518,0.482,0.0,1138,64,1074
2018-02-16,0.577,0.423,0.0,999,1050,1,0.577,0.423,0.0,1227,24,1202
