dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.455,0.545,0.0,1000,1000,1,0.455,0.545,0.0,1000,0,1000
2018-01-05,0.37,0.63,0.0,1264,1270,1,0.37,0.63,0.0,1264,447,816
2018-01-09,0.315,0.685,0.0,1425,1426,1,0.315,0.685,0.0,1368,241,1126
2018-01-13,0.312,0.688,0.0,1485,1485,0,0.312,0.688,0.0,1415,662,752
2018-01-17,0.402,0.598,0.0,1076,1076,0,0.402,0.598,0.0,1208,868,339
2018-01-21,0.564,0.436,0.0,1230,1230,1,0.604,0.396,0.0,1257,523,733
2018-01-25,0.424,0.576,0.0,1178,1190,1,0.461,0.539,0.0,1225,189,1036
2018-01-29,0.447,0.553,0.0,1262,1294,0,0.47,0.53,0.0,1294,571,723
2018-02-02,0.427,0.573,0.0,934,959,1,0.443,0.557,0.0,1106,723,382
2018-02-06,0.463,0.537,0.0,752,764,0,0.473,0.527,0.0,1032,841,190
2018-02-10,0.516,0.484,0.0,938,955,1,0.52,0.48,0.0,1079,413,665
2018-02-14,0.541,0.459,0.0,971,982,1,0.543,0.457,0.0,1102,211,891
2018-02-18,0.578,0.422,0.0,1102,1086,0,0.578,0.422,0.0,1223,68,1154
2018-02-22,0.61,0.39,0.0,1022,980,0,0.611,0.389,0.0,1139,41,1098
2018-02-26,0.612,0.388,0.0,1010,990,1,0.612,0.388,0.0,1126,354,772
2018-03-02,0.533,0.467,0.0,1079,1026,0,0.525,0.475,0.0,1179,214,964
2018-03-06,0.641,0.359,0.0,1058,997,0,0.641,0.359,0.0,1160,130,1030
2018-03-10,0.578,0.422,0.0,891,850,0,0.578,0.422,0.0,997,401,596
2018-03-14,0.566,0.434,0.0,828,780,1,0.566,0.434,0.0,955,543,412
2018-03-18,0.678,0.322,0.0,741,695,0,0.687,0.313,0.0,912,297,614
2018-03-22,0.705,0.295,0.0,795,707,0,0.71,0.29,0.0,958,550,408
2018-03-26,0.708,0.292,0.0,732,647,1,0.711,0.289,0.0,926,667,258
2018-03-30,0.669,0.331,0.0,607,522,1,0.671,0.329,0.0,882,721,160
2018-04-03,0.638,0.362,0.0,632,541,1,0.64,0.36,0.0,888,764,124
2018-04-07,0.576,0.424,0.0,599,515,0,0.578,0.422,0.0,882,804,77
2018-04-11,0.497,0.503,0.0,628,548,0,0.507,0.493,0.0,886,360,525
2018-04-15,0.423,0.577,0.0,760,666,0,0.435,0.565,0.0,996,128,867
2018-04-19,0.407,0.593,0.0,783,687,1,0.413,0.587,0.0,1021,75,945
2018-04-23,0.413,0.587,0.0,885,779,1,0.416,0.584,0.0,1143,31,1112
2018-04-27,0.466,0.534,0.0,919,810,1,0.467,0.533,0.0,1187,12,1174
2018-05-01,0.399,0.601,0.0,906,798,1,0.4,0.6,0.0,1170,5,1165
2018-05-05,0.397,0.603,0.0,1062,941,0,0.397,0.603,0.0,1370,2,1367
2018-05-09,0.405,0.595,0.0,978,865,0,0.405,0.595,0.0,1262,459,802
2018-05-13,0.427,0.573,0.0,931,826,1,0.427,0.573,0.0,1224,637,586
2018-05-17,0.426,0.574,0.0,906,804,0,0.426,0.574,0.0,1208,841,366
2018-05-21,0.431,0.569,0.0,925,821,1,0.431,0.569,0.0,1215,933,282
2018-05-25,0.452,0.548,0.0,797,703,1,0.452,0.548,0.0,1176,984,192
2018-05-29,0.473,0.527,0.0,750,657,0,0.473,0.527,0.0,1165,1025,140
2018-06-02,0.527,0.473,0.0,797,701,0,0.527,0.473,0.0,1174,1081,92
2018-06-06,0.499,0.501,0.0,807,714,1,0.496,0.504,0.0,1175,577,597
2018-06-10,0.498,0.502,0.0,743,655,0,0.496,0.504,0.0,1127,762,364
2018-06-14,0.504,0.496,0.0,676,593,0,0.503,0.497,0.0,1094,878,216
2018-06-18,0.493,0.507,0.0,690,606,0,0.49,0.51,0.0,1099,504,595
2018-06-22,0.586,0.414,0.0,664,584,0,0.587,0.413,0.0,1077,260,816
2018-06-26,0.612,0.388,0.0,629,545,0,0.613,0.387,0.0,1034,146,888
2018-06-30,0.656,0.344,0.0,643,553,1,0.657,0.343,0.0,1054,83,970
2018-07-04,0.596,0.404,0.0,665,574,1,0.596,0.404,0.0,1087,48,1039
2018-07-08,0.677,0.323,0.0,688,596,0,0.677,0.323,0.0,1122,25,1097
2018-07-12,0.672,0.328,0.0,628,536,1,0.672,0.328,0.0,1027,14,1012
2018-07-16,0.705,0.295,0.0,663,570,1,0.705,0.295,0.0,1084,6,1077
2018-07-20,0.617,0.383,0.0,727,593,1,0.617,0.383,0.0,1188,2,1185
2018-07-24,0.649,0.351,0.0,771,621,0,0.649,0.351,0.0,1259,1,1258
2018-07-28,0.613,0.387,0.0,774,622,0,0.613,0.387,0.0,1264,0,1264
2018-08-01,0.589,0.411,0.0,713,569,0,0.59,0.41,0.0,1164,0,1164
2018-08-05,0.548,0.452,0.0,670,539,0,0.548,0.452,0.0,1094,272,821
2018-08-09,0.539,0.461,0.0,605,485,1,0.539,0.461,0.0,1015,430,584
2018-08-13,0.562,0.438,0.0,556,436,1,0.562,0.438,0.0,967,556,411
2018-08-17,0.546,0.454,0.0,561,438,1,0.546,0.454,0.0,970,673,297
