dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.433,0.567,0.0,1000,1000,1,0.433,0.567,0.0,1000,0,1000
2018-01-04,0.507,0.493,0.0,1209,1214,1,0.507,0.493,0.0,1209,0,1209
2018-01-07,0.542,0.458,0.0,1346,1351,1,0.542,0.458,0.0,1346,0,1346
2018-01-10,0.364,0.636,0.0,1386,1473,0,0.364,0.636,0.0,1386,541,844
2018-01-13,0.33,0.67,0.0,1396,1485,1,0.33,0.67,0.0,1392,776,616
2018-01-16,0.366,0.634,0.0,1149,1221,1,0.366,0.634,0.0,1283,916,367
2018-01-19,0.478,0.522,0.0,1123,1195,0,0.478,0.522,0.0,1275,1071,203
2018-01-22,0.525,0.475,0.0,1066,1134,0,0.504,0.496,0.0,1264,333,931
2018-01-25,0.435,0.565,0.0,1112,1190,1,0.434,0.566,0.0,1305,112,1192
2018-01-28,0.464,0.536,0.0,1188,1283,0,0.463,0.537,0.0,1386,457,929
2018-01-31,0.477,0.523,0.0,1056,1156,1,0.477,0.523,0.0,1284,654,629
2018-02-03,0.508,0.492,0.0,924,1006,1,0.507,0.493,0.0,1205,785,419
2018-02-06,0.552,0.448,0.0,710,764,0,0.557,0.443,0.0,1108,439,668
2018-02-09,0.573,0.427,0.0,850,917,0,0.572,0.428,0.0,1239,170,1068
2018-02-12,0.631,0.369,0.0,872,935,1,0.628,0.372,0.0,1267,60,1206
2018-02-15,0.685,0.315,0.0,987,1043,1,0.684,0.316,0.0,1426,21,1404
2018-02-18,0.718,0.282,0.0,1055,1086,1,0.718,0.282,0.0,1523,10,1512
2018-02-21,0.709,0.291,0.0,1032,1019,0,0.709,0.291,0.0,1490,512,978
2018-02-24,0.655,0.345,0.0,972,980,0,0.655,0.345,0.0,1433,754,678
2018-02-27,0.618,0.382,0.0,1019,1023,1,0.616,0.384,0.0,1465,403,1062
2018-03-02,0.67,0.33,0.0,1042,1026,1,0.67,0.33,0.0,1490,230,1259
2018-03-05,0.657,0.343,0.0,1075,1040,0,0.657,0.343,0.0,1529,540,989
2018-03-08,0.628,0.372,0.0,900,877,1,0.629,0.371,0.0,1368,735,633
2018-03-11,0.588,0.412,0.0,863,843,1,0.588,0.412,0.0,1342,896,446
2018-03-14,0.594,0.406,0.0,805,780,1,0.594,0.406,0.0,1312,993,319
2018-03-17,0.63,0.37,0.0,743,716,1,0.63,0.37,0.0,1288,1105,182
2018-03-20,0.725,0.275,0.0,759,700,0,0.734,0.266,0.0,1292,602,689
2018-03-23,0.634,0.366,0.0,747,684,0,0.654,0.346,0.0,1281,210,1071
2018-03-26,0.63,0.37,0.0,708,647,0,0.644,0.356,0.0,1224,541,683
2018-03-29,0.632,0.368,0.0,625,559,1,0.641,0.359,0.0,1145,700,445
2018-04-01,0.506,0.494,0.0,569,510,0,0.547,0.453,0.0,1105,220,884
2018-04-04,0.528,0.472,0.0,593,531,0,0.543,0.457,0.0,1143,78,1064
2018-04-07,0.469,0.531,0.0,575,515,1,0.478,0.522,0.0,1111,455,655
2018-04-10,0.566,0.434,0.0,590,531,0,0.553,0.447,0.0,1127,154,973
2018-04-13,0.587,0.413,0.0,713,648,1,0.581,0.419,0.0,1332,50,1282
2018-04-16,0.517,0.483,0.0,730,665,0,0.515,0.485,0.0,1363,19,1344
2018-04-19,0.557,0.443,0.0,750,687,1,0.557,0.443,0.0,1399,6,1393
2018-04-22,0.527,0.473,0.0,830,766,1,0.527,0.473,0.0,1547,1,1545
2018-04-25,0.444,0.556,0.0,869,803,1,0.444,0.556,0.0,1619,0,1619
2018-04-28,0.429,0.571,0.0,877,814,1,0.429,0.571,0.0,1634,0,1634
2018-05-01,0.472,0.528,0.0,861,798,1,0.472,0.528,0.0,1604,0,1604
2018-05-04,0.396,0.604,0.0,978,920,1,0.396,0.604,0.0,1823,0,1823
2018-05-07,0.476,0.524,0.0,938,881,0,0.476,0.524,0.0,1749,717,1032
2018-05-10,0.473,0.527,0.0,930,876,1,0.473,0.527,0.0,1740,958,781
2018-05-13,0.487,0.513,0.0,874,826,0,0.487,0.513,0.0,1693,1130,562
2018-05-16,0.534,0.466,0.0,855,810,1,0.534,0.466,0.0,1680,1334,346
2018-05-19,0.573,0.427,0.0,852,808,0,0.573,0.427,0.0,1680,1462,217
2018-05-22,0.577,0.423,0.0,834,785,1,0.577,0.423,0.0,1675,1521,153
2018-05-25,0.572,0.428,0.0,753,703,1,0.572,0.428,0.0,1660,1554,106
2018-05-28,0.474,0.526,0.0,712,655,0,0.513,0.487,0.0,1654,592,1061
2018-05-31,0.382,0.618,0.0,742,684,1,0.411,0.589,0.0,1698,189,1508
2018-06-03,0.361,0.639,0.0,782,723,0,0.374,0.626,0.0,1778,87,1690
2018-06-06,0.451,0.549,0.0,773,714,0,0.46,0.54,0.0,1758,622,1136
2018-06-09,0.485,0.515,0.0,770,711,1,0.491,0.509,0.0,1754,1052,701
2018-06-12,0.508,0.492,0.0,667,613,1,0.512,0.488,0.0,1660,1192,468
2018-06-15,0.534,0.466,0.0,653,601,1,0.537,0.463,0.0,1650,1327,323
2018-06-18,0.435,0.565,0.0,660,606,0,0.475,0.525,0.0,1654,429,1224
2018-06-21,0.466,0.534,0.0,686,633,0,0.496,0.504,0.0,1701,749,952
2018-06-24,0.507,0.493,0.0,593,543,0,0.53,0.47,0.0,1574,940,634
2018-06-27,0.63,0.37,0.0,586,532,1,0.652,0.348,0.0,1567,518,1049
2018-06-30,0.495,0.505,0.0,611,553,1,0.522,0.478,0.0,1612,162,1449
2018-07-03,0.383,0.617,0.0,637,578,0,0.396,0.604,0.0,1673,50,1622
2018-07-06,0.377,0.623,0.0,629,570,1,0.383,0.617,0.0,1652,21,1630
2018-07-09,0.466,0.534,0.0,648,588,0,0.47,0.53,0.0,1702,619,1082
2018-07-12,0.52,0.48,0.0,593,536,0,0.523,0.477,0.0,1610,871,739
2018-07-15,0.455,0.545,0.0,604,547,0,0.469,0.531,0.0,1624,295,1328
2018-07-18,0.461,0.539,0.0,690,621,0,0.467,0.533,0.0,1813,99,1713
2018-07-21,0.565,0.435,0.0,658,589,1,0.569,0.431,0.0,1735,56,1678
2018-07-24,0.465,0.535,0.0,703,621,1,0.468,0.532,0.0,1850,23,1827
2018-07-27,0.47,0.53,0.0,699,617,1,0.471,0.529,0.0,1840,10,1829
2018-07-30,0.519,0.481,0.0,695,612,0,0.52,0.48,0.0,1828,519,1308
2018-08-02,0.559,0.441,0.0,643,564,1,0.559,0.441,0.0,1730,915,815
2018-08-05,0.564,0.436,0.0,608,539,1,0.565,0.435,0.0,1687,1114,572
2018-08-08,0.59,0.41,0.0,553,488,1,0.59,0.41,0.0,1634,1266,368
2018-08-11,0.682,0.318,0.0,507,440,1,0.697,0.303,0.0,1604,721,883
2018-08-14,0.591,0.409,0.0,480,400,1,0.618,0.382,0.0,1559,251,1308
2018-08-17,0.435,0.565,0.0,522,438,0,0.452,0.548,0.0,1671,86,1585
2018-08-20,0.589,0.411,0.0,506,424,1,0.6,0.4,0.0,1622,49,1572
2018-08-23,0.665,0.335,0.0,501,417,1,0.672,0.328,0.0,1607,28,1579
