dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.453,0.547,0.0,1000,1000,1,0.453,0.547,0.0,1000,0,1000
2018-01-04,0.491,0.509,0.0,1206,1214,1,0.491,0.509,0.0,1206,0,1206
2018-01-07,0.437,0.563,0.0,1342,1351,1,0.437,0.563,0.0,1342,0,1342
2018-01-10,0.461,0.539,0.0,1433,1473,0,0.461,0.539,0.0,1433,0,1433
2018-01-13,0.519,0.481,0.0,1441,1485,0,0.519,0.481,0.0,1441,0,1441
2018-01-16,0.477,0.523,0.0,1189,1221,0,0.477,0.523,0.0,1189,357,832
2018-01-19,0.466,0.534,0.0,1163,1195,0,0.466,0.534,0.0,1171,607,563
2018-01-22,0.498,0.502,0.0,1104,1134,0,0.502,0.498,0.0,1142,346,796
2018-01-25,0.546,0.454,0.0,1152,1190,1,0.548,0.452,0.0,1177,174,1002
2018-01-28,0.529,0.471,0.0,1222,1283,0,0.53,0.47,0.0,1238,93,1144
2018-01-31,0.498,0.502,0.0,1082,1156,0,0.499,0.501,0.0,1107,386,720
2018-02-03,0.514,0.486,0.0,947,1006,1,0.515,0.485,0.0,1017,539,477
2018-02-06,0.488,0.512,0.0,728,764,0,0.489,0.511,0.0,907,663,243
2018-02-09,0.592,0.408,0.0,872,917,1,0.603,0.397,0.0,954,360,594
2018-02-12,0.64,0.36,0.0,895,935,1,0.646,0.354,0.0,970,186,784
2018-02-15,0.651,0.349,0.0,1013,1043,1,0.654,0.346,0.0,1074,78,996
2018-02-18,0.629,0.371,0.0,1081,1086,1,0.63,0.37,0.0,1141,35,1106
2018-02-21,0.617,0.383,0.0,1049,1019,0,0.618,0.382,0.0,1108,15,1093
2018-02-24,0.581,0.419,0.0,992,980,1,0.582,0.418,0.0,1049,397,652
2018-02-27,0.626,0.374,0.0,1039,1023,1,0.628,0.372,0.0,1080,215,864
2018-03-02,0.634,0.366,0.0,1064,1026,1,0.635,0.365,0.0,1100,119,981
2018-03-05,0.634,0.366,0.0,1095,1040,0,0.635,0.365,0.0,1130,470,659
2018-03-08,0.614,0.386,0.0,917,877,1,0.615,0.385,0.0,1022,641,380
2018-03-11,0.591,0.409,0.0,880,843,1,0.592,0.408,0.0,1007,740,267
2018-03-14,0.6,0.4,0.0,821,780,1,0.6,0.4,0.0,989,803,186
2018-03-17,0.609,0.391,0.0,757,716,1,0.609,0.391,0.0,974,858,116
2018-03-20,0.635,0.365,0.0,771,700,0,0.635,0.365,0.0,977,895,81
2018-03-23,0.638,0.362,0.0,758,684,1,0.639,0.361,0.0,975,921,53
2018-03-26,0.64,0.36,0.0,718,647,1,0.641,0.359,0.0,972,551,421
2018-03-29,0.64,0.36,0.0,634,559,0,0.64,0.36,0.0,923,665,257
2018-04-01,0.635,0.365,0.0,577,510,0,0.635,0.365,0.0,900,377,523
2018-04-04,0.618,0.382,0.0,603,531,0,0.617,0.383,0.0,923,552,371
2018-04-07,0.572,0.428,0.0,584,515,0,0.569,0.431,0.0,912,299,612
2018-04-10,0.556,0.444,0.0,595,531,1,0.554,0.446,0.0,924,127,796
2018-04-13,0.522,0.478,0.0,720,648,1,0.522,0.478,0.0,1091,50,1040
2018-04-16,0.531,0.469,0.0,738,665,0,0.531,0.469,0.0,1116,19,1097
2018-04-19,0.518,0.482,0.0,757,687,1,0.518,0.482,0.0,1145,7,1137
2018-04-22,0.506,0.494,0.0,838,766,1,0.506,0.494,0.0,1267,2,1264
2018-04-25,0.479,0.521,0.0,878,803,1,0.479,0.521,0.0,1327,1,1326
2018-04-28,0.449,0.551,0.0,885,814,1,0.449,0.551,0.0,1338,0,1337
2018-05-01,0.414,0.586,0.0,869,798,1,0.414,0.586,0.0,1313,0,1313
2018-05-04,0.398,0.602,0.0,994,920,1,0.398,0.602,0.0,1503,0,1503
2018-05-07,0.43,0.57,0.0,954,881,0,0.43,0.57,0.0,1442,0,1442
2018-05-10,0.428,0.572,0.0,946,876,0,0.428,0.572,0.0,1430,0,1430
2018-05-13,0.469,0.531,0.0,890,826,1,0.469,0.531,0.0,1345,530,814
2018-05-16,0.454,0.546,0.0,871,810,1,0.454,0.546,0.0,1328,761,566
2018-05-19,0.491,0.509,0.0,869,808,0,0.491,0.509,0.0,1326,931,395
2018-05-22,0.523,0.477,0.0,848,785,1,0.523,0.477,0.0,1317,1057,259
2018-05-25,0.547,0.453,0.0,765,703,1,0.547,0.453,0.0,1291,1119,172
2018-05-28,0.563,0.437,0.0,721,655,0,0.563,0.437,0.0,1282,1169,113
2018-05-31,0.582,0.418,0.0,750,684,0,0.586,0.414,0.0,1286,632,653
2018-06-03,0.542,0.458,0.0,785,723,0,0.542,0.458,0.0,1316,337,979
2018-06-06,0.548,0.452,0.0,775,714,0,0.549,0.451,0.0,1304,183,1121
2018-06-09,0.563,0.437,0.0,773,711,0,0.563,0.437,0.0,1300,486,813
2018-06-12,0.583,0.417,0.0,671,613,1,0.583,0.417,0.0,1193,665,528
2018-06-15,0.592,0.408,0.0,657,601,1,0.592,0.408,0.0,1182,798,384
2018-06-18,0.591,0.409,0.0,663,606,0,0.592,0.408,0.0,1186,898,288
2018-06-21,0.573,0.427,0.0,687,633,1,0.573,0.427,0.0,1196,993,202
2018-06-24,0.606,0.394,0.0,598,543,0,0.609,0.391,0.0,1170,548,621
2018-06-27,0.594,0.406,0.0,593,532,0,0.596,0.404,0.0,1166,765,400
2018-06-30,0.586,0.414,0.0,619,553,0,0.587,0.413,0.0,1182,907,275
2018-07-03,0.578,0.422,0.0,644,578,1,0.579,0.421,0.0,1194,399,795
2018-07-06,0.568,0.432,0.0,637,570,1,0.569,0.431,0.0,1186,702,483
2018-07-09,0.589,0.411,0.0,656,588,1,0.591,0.409,0.0,1200,390,809
2018-07-12,0.622,0.378,0.0,602,536,1,0.625,0.375,0.0,1133,217,916
2018-07-15,0.565,0.435,0.0,612,547,1,0.567,0.433,0.0,1149,98,1050
2018-07-18,0.6,0.4,0.0,703,621,0,0.6,0.4,0.0,1305,44,1261
2018-07-21,0.632,0.368,0.0,677,589,1,0.633,0.367,0.0,1259,25,1234
2018-07-24,0.678,0.322,0.0,727,621,1,0.678,0.322,0.0,1350,12,1337
2018-07-27,0.636,0.364,0.0,723,617,1,0.636,0.364,0.0,1342,6,1336
2018-07-30,0.646,0.354,0.0,720,612,0,0.646,0.354,0.0,1337,3,1334
2018-08-02,0.638,0.362,0.0,670,564,0,0.638,0.362,0.0,1243,2,1241
2018-08-05,0.621,0.379,0.0,631,539,0,0.621,0.379,0.0,1171,404,767
2018-08-08,0.626,0.374,0.0,574,488,1,0.626,0.374,0.0,1102,584,518
2018-08-11,0.642,0.358,0.0,529,440,1,0.642,0.358,0.0,1061,744,316
2018-08-14,0.611,0.389,0.0,497,400,0,0.615,0.385,0.0,1042,354,688
2018-08-17,0.605,0.395,0.0,540,438,0,0.607,0.393,0.0,1102,171,930
2018-08-20,0.6,0.4,0.0,526,424,1,0.601,0.399,0.0,1078,92,985
2018-08-23,0.601,0.399,0.0,522,417,1,0.601,0.399,0.0,1069,41,1028
2018-08-26,0.602,0.398,0.0,531,423,1,0.602,0.398,0.0,1088,18,1069
2018-08-29,0.599,0.401,0.0,561,447,0,0.6,0.4,0.0,1148,9,1139
2018-09-01,0.594,0.406,0.0,567,451,1,0.594,0.406,0.0,1160,4,1156
2018-09-04,0.616,0.384,0.0,572,453,0,0.616,0.384,0.0,1170,387,782
2018-09-07,0.644,0.356,0.0,480,374,1,0.644,0.356,0.0,1044,570,473
2018-09-10,0.671,0.329,0.0,452,348,1,0.671,0.329,0.0,1017,675,341
2018-09-13,0.669,0.331,0.0,462,356,0,0.669,0.331,0.0,1024,759,264
2018-09-16,0.648,0.352,0.0,476,370,1,0.648,0.352,0.0,1032,847,184
2018-09-19,0.587,0.413,0.0,462,358,0,0.596,0.404,0.0,1027,381,645
2018-09-22,0.518,0.482,0.0,515,401,0,0.524,0.476,0.0,1100,168,932
2018-09-25,0.538,0.462,0.0,475,370,1,0.541,0.459,0.0,1029,90,938
2018-09-28,0.473,0.527,0.0,491,383,1,0.476,0.524,0.0,1061,38,1022
2018-10-01,0.514,0.486,0.0,495,384,0,0.515,0.485,0.0,1068,429,638
2018-10-04,0.528,0.472,0.0,485,377,0,0.529,0.471,0.0,1055,631,424
2018-10-07,0.554,0.446,0.0,487,379,0,0.559,0.441,0.0,1057,373,684
2018-10-10,0.584,0.416,0.0,489,380,0,0.587,0.413,0.0,1060,582,477
2018-10-13,0.623,0.377,0.0,449,347,0,0.627,0.373,0.0,1020,342,678
2018-10-16,0.57,0.43,0.0,465,360,0,0.573,0.427,0.0,1046,569,477
2018-10-19,0.602,0.398,0.0,459,355,0,0.606,0.394,0.0,1039,325,713
2018-10-22,0.584,0.416,0.0,461,357,1,0.587,0.413,0.0,1043,144,899
2018-10-25,0.59,0.41,0.0,458,354,1,0.591,0.409,0.0,1036,81,955
2018-10-28,0.568,0.432,0.0,462,357,0,0.569,0.431,0.0,1045,45,1000
2018-10-31,0.593,0.407,0.0,450,348,1,0.593,0.407,0.0,1020,25,994
