dates,BTC,ETH,LTC,account_val,valueof_intial_holding,error,ifusd_BTC,ifusd_ETH,ifusd_LTC,ifusd_account_val,ifusd_cash_val,ifusd_crypto_val
2018-01-01,0.359,0.641,0.0,1000,1000,1,0.359,0.641,0.0,1000,0,1000
2018-01-05,0.34,0.66,0.0,1276,1270,1,0.34,0.66,0.0,1276,0,1276
2018-01-09,0.342,0.658,0.0,1451,1426,0,0.342,0.658,0.0,1451,0,1451
2018-01-13,0.313,0.687,0.0,1507,1485,0,0.313,0.687,0.0,1507,466,1041
2018-01-17,0.455,0.545,0.0,1092,1076,0,0.455,0.545,0.0,1220,757,463
2018-01-21,0.517,0.483,0.0,1248,1230,1,0.507,0.493,0.0,1286,304,982
2018-01-25,0.519,0.481,0.0,1197,1190,1,0.514,0.486,0.0,1247,167,1079
2018-01-29,0.494,0.506,0.0,1269,1294,0,0.49,0.51,0.0,1313,496,816
2018-02-02,0.479,0.521,0.0,940,959,1,0.477,0.523,0.0,1101,678,422
2018-02-06,0.428,0.572,0.0,758,764,0,0.426,0.574,0.0,1019,785,233
2018-02-10,0.442,0.558,0.0,946,955,1,0.438,0.562,0.0,1077,316,760
2018-02-14,0.582,0.418,0.0,978,982,1,0.578,0.422,0.0,1102,152,950
2018-02-18,0.717,0.283,0.0,1114,1086,0,0.716,0.284,0.0,1234,76,1158
2018-02-22,0.654,0.346,0.0,1048,980,0,0.653,0.347,0.0,1165,416,748
2018-02-26,0.696,0.304,0.0,1032,990,0,0.691,0.309,0.0,1154,172,981
2018-03-02,0.766,0.234,0.0,1111,1026,1,0.764,0.236,0.0,1229,92,1136
2018-03-06,0.691,0.309,0.0,1100,997,0,0.689,0.311,0.0,1217,382,834
2018-03-10,0.619,0.381,0.0,925,850,1,0.618,0.382,0.0,1084,562,522
2018-03-14,0.571,0.429,0.0,861,780,1,0.571,0.429,0.0,1048,728,319
2018-03-18,0.685,0.315,0.0,770,695,0,0.701,0.299,0.0,1015,410,605
2018-03-22,0.776,0.224,0.0,828,707,0,0.783,0.217,0.0,1061,197,863
2018-03-26,0.707,0.293,0.0,764,647,0,0.712,0.288,0.0,995,377,617
2018-03-30,0.673,0.327,0.0,634,522,1,0.676,0.324,0.0,890,493,396
2018-04-03,0.619,0.381,0.0,659,541,1,0.622,0.378,0.0,906,652,254
2018-04-07,0.566,0.434,0.0,625,515,0,0.567,0.433,0.0,893,750,142
2018-04-11,0.427,0.573,0.0,656,548,0,0.464,0.536,0.0,900,281,618
2018-04-15,0.502,0.498,0.0,796,666,0,0.51,0.49,0.0,1030,102,928
2018-04-19,0.42,0.58,0.0,816,687,1,0.425,0.575,0.0,1053,48,1005
2018-04-23,0.392,0.608,0.0,921,779,1,0.394,0.606,0.0,1183,16,1167
2018-04-27,0.363,0.637,0.0,958,810,1,0.364,0.636,0.0,1229,5,1223
2018-05-01,0.326,0.674,0.0,943,798,1,0.327,0.673,0.0,1211,2,1209
2018-05-05,0.319,0.681,0.0,1115,941,0,0.32,0.68,0.0,1431,0,1430
2018-05-09,0.349,0.651,0.0,1025,865,0,0.349,0.651,0.0,1315,355,960
2018-05-13,0.379,0.621,0.0,978,826,1,0.379,0.621,0.0,1271,613,658
2018-05-17,0.585,0.415,0.0,952,804,0,0.554,0.446,0.0,1253,229,1023
2018-05-21,0.561,0.439,0.0,973,821,0,0.537,0.463,0.0,1276,467,809
2018-05-25,0.554,0.446,0.0,844,703,1,0.535,0.465,0.0,1168,621,547
2018-05-29,0.628,0.372,0.0,800,657,0,0.616,0.384,0.0,1139,807,331
2018-06-02,0.463,0.537,0.0,843,701,0,0.485,0.515,0.0,1157,325,831
2018-06-06,0.521,0.479,0.0,856,714,0,0.527,0.473,0.0,1169,126,1043
2018-06-10,0.526,0.474,0.0,789,655,0,0.531,0.469,0.0,1087,327,759
2018-06-14,0.532,0.468,0.0,717,593,0,0.536,0.464,0.0,1018,472,546
2018-06-18,0.439,0.561,0.0,732,606,0,0.448,0.552,0.0,1029,204,824
2018-06-22,0.592,0.408,0.0,705,584,0,0.599,0.401,0.0,999,111,888
2018-06-26,0.615,0.385,0.0,668,545,0,0.62,0.38,0.0,953,342,610
2018-06-30,0.742,0.258,0.0,683,553,0,0.733,0.267,0.0,967,131,835
2018-07-04,0.497,0.503,0.0,706,574,1,0.505,0.495,0.0,995,43,951
2018-07-08,0.51,0.49,0.0,731,596,0,0.516,0.484,0.0,1029,351,678
2018-07-12,0.538,0.462,0.0,663,536,0,0.543,0.457,0.0,965,495,470
2018-07-16,0.439,0.561,0.0,702,570,0,0.455,0.545,0.0,993,188,805
2018-07-20,0.605,0.395,0.0,740,593,1,0.604,0.396,0.0,1039,64,974
2018-07-24,0.683,0.317,0.0,784,621,0,0.682,0.318,0.0,1097,29,1067
2018-07-28,0.608,0.392,0.0,787,622,0,0.607,0.393,0.0,1101,455,646
2018-08-01,0.589,0.411,0.0,725,569,1,0.588,0.412,0.0,1050,607,443
2018-08-05,0.552,0.448,0.0,681,539,1,0.551,0.449,0.0,1023,716,307
2018-08-09,0.546,0.454,0.0,615,485,1,0.545,0.455,0.0,994,799,195
2018-08-13,0.584,0.416,0.0,566,436,1,0.584,0.416,0.0,978,845,133
2018-08-17,0.611,0.389,0.0,571,438,1,0.611,0.389,0.0,979,889,89
2018-08-21,0.654,0.346,0.0,550,417,0,0.654,0.346,0.0,976,921,55
2018-08-25,0.516,0.484,0.0,571,430,0,0.579,0.421,0.0,978,320,658
2018-08-29,0.593,0.407,0.0,595,447,1,0.608,0.392,0.0,1005,100,905
2018-09-02,0.637,0.363,0.0,608,457,0,0.646,0.354,0.0,1026,449,577
2018-09-06,0.663,0.337,0.0,513,376,1,0.67,0.33,0.0,937,556,381
2018-09-10,0.687,0.313,0.0,483,348,0,0.692,0.308,0.0,915,662,252
2018-09-14,0.682,0.318,0.0,508,369,1,0.685,0.315,0.0,927,770,157
2018-09-18,0.666,0.334,0.0,491,356,0,0.676,0.324,0.0,922,238,684
2018-09-22,0.496,0.504,0.0,545,401,0,0.509,0.491,0.0,996,94,902
2018-09-26,0.55,0.45,0.0,501,369,1,0.558,0.442,0.0,926,353,572
2018-09-30,0.561,0.439,0.0,525,387,1,0.567,0.433,0.0,952,202,750
2018-10-04,0.603,0.397,0.0,512,377,1,0.607,0.393,0.0,934,461,473
2018-10-08,0.589,0.411,0.0,520,383,1,0.592,0.408,0.0,941,588,353
2018-10-12,0.616,0.384,0.0,468,343,0,0.618,0.382,0.0,906,707,198
2018-10-16,0.562,0.438,0.0,490,360,1,0.573,0.427,0.0,915,288,627
2018-10-20,0.583,0.417,0.0,488,358,0,0.59,0.41,0.0,912,159,752
2018-10-24,0.589,0.411,0.0,488,358,0,0.593,0.407,0.0,912,470,442
2018-10-28,0.585,0.415,0.0,487,357,1,0.587,0.413,0.0,912,620,291
2018-11-01,0.56,0.44,0.0,478,351,0,0.562,0.438,0.0,906,713,193
2018-11-05,0.471,0.529,0.0,494,363,0,0.485,0.515,0.0,913,307,605
2018-11-09,0.403,0.597,0.0,494,362,0,0.412,0.588,0.0,913,134,778
2018-11-13,0.442,0.558,0.0,487,357,0,0.449,0.551,0.0,901,317,583
2018-11-17,0.477,0.523,0.0,416,306,1,0.482,0.518,0.0,816,424,392
2018-11-21,0.52,0.48,0.0,324,240,1,0.525,0.475,0.0,730,487,242
2018-11-25,0.555,0.445,0.0,274,203,0,0.558,0.442,0.0,692,571,121
2018-11-29,0.561,0.437,0.002,302,224,1,0.558,0.43,0.011,705,567,137
2018-12-03,0.572,0.426,0.002,281,208,0,0.57,0.421,0.009,695,595,99
2018-12-07,0.577,0.421,0.001,235,174,0,0.576,0.418,0.006,679,618,61
2018-12-11,0.453,0.249,0.298,233,173,1,0.523,0.342,0.135,678,165,513
2018-12-15,0.427,0.265,0.308,223,163,1,0.481,0.345,0.174,653,138,514
2018-12-19,0.377,0.315,0.309,276,198,1,0.414,0.382,0.204,770,106,663
2018-12-23,0.301,0.415,0.285,307,221,0,0.315,0.434,0.252,847,31,816
2018-12-27,0.272,0.471,0.256,288,211,1,0.28,0.482,0.238,799,17,782
2018-12-31,0.18,0.642,0.178,305,221,1,0.182,0.644,0.173,846,5,841
2019-01-04,0.269,0.461,0.27,332,236,1,0.269,0.462,0.269,922,0,922
2019-01-08,0.313,0.359,0.327,359,243,0,0.313,0.36,0.327,995,679,315
2019-01-12,0.357,0.297,0.347,304,210,1,0.357,0.297,0.346,947,778,168
2019-01-16,0.438,0.129,0.434,300,209,0,0.393,0.227,0.38,945,157,787
2019-01-20,0.428,0.142,0.43,300,205,0,0.415,0.171,0.414,941,711,229
2019-01-24,0.41,0.174,0.416,299,201,1,0.402,0.192,0.406,940,388,551
2019-01-28,0.402,0.194,0.404,288,191,1,0.399,0.2,0.401,918,735,183
2019-02-01,0.343,0.304,0.354,288,188,0,0.308,0.376,0.316,919,498,420
2019-02-05,0.305,0.369,0.326,295,189,1,0.277,0.432,0.291,927,336,591
2019-02-09,0.268,0.407,0.326,342,205,0,0.251,0.451,0.297,1019,221,797
2019-02-13,0.368,0.251,0.381,342,208,1,0.351,0.284,0.364,1022,63,958
2019-02-17,0.339,0.313,0.347,351,214,1,0.333,0.326,0.341,1047,25,1022
2019-02-21,0.359,0.279,0.362,392,236,0,0.357,0.281,0.361,1167,3,1163
2019-02-25,0.378,0.251,0.371,369,225,1,0.377,0.252,0.37,1099,1,1097
2019-03-01,0.388,0.224,0.389,374,225,0,0.387,0.224,0.388,1113,652,460
2019-03-05,0.377,0.237,0.387,379,221,0,0.377,0.237,0.386,1119,959,160
2019-03-09,0.366,0.231,0.403,407,227,1,0.371,0.235,0.394,1131,673,457
2019-03-13,0.307,0.374,0.319,399,223,1,0.319,0.354,0.327,1122,272,850
2019-03-17,0.305,0.37,0.325,421,232,0,0.313,0.357,0.33,1170,183,987
2019-03-21,0.357,0.282,0.361,415,230,1,0.36,0.277,0.363,1156,80,1075
2019-03-25,0.362,0.27,0.367,412,227,1,0.364,0.268,0.368,1148,43,1105
2019-03-29,0.345,0.307,0.348,425,235,1,0.346,0.306,0.348,1184,24,1159
2019-04-02,0.368,0.262,0.37,482,264,1,0.368,0.262,0.37,1337,8,1329
2019-04-06,0.334,0.302,0.363,566,289,1,0.334,0.302,0.364,1570,3,1566
2019-04-10,0.397,0.204,0.399,581,305,0,0.397,0.204,0.399,1612,1,1611
2019-04-14,0.369,0.268,0.362,540,288,1,0.369,0.268,0.362,1497,1079,417
2019-04-18,0.377,0.247,0.376,555,298,1,0.374,0.26,0.366,1508,137,1371
2019-04-22,0.351,0.304,0.345,546,300,0,0.35,0.307,0.343,1487,1206,281
2019-04-26,0.363,0.283,0.354,507,280,1,0.362,0.285,0.353,1467,1360,107
2019-04-30,0.35,0.308,0.342,510,285,0,0.352,0.305,0.343,1468,583,884
2019-05-04,0.336,0.328,0.335,551,304,1,0.339,0.324,0.337,1539,245,1293
2019-05-08,0.315,0.383,0.302,550,311,1,0.317,0.381,0.303,1535,109,1425
2019-05-12,0.307,0.392,0.301,658,374,1,0.308,0.391,0.301,1815,33,1781
2019-05-16,0.269,0.463,0.268,797,455,0,0.27,0.463,0.268,2192,13,2178
2019-05-20,0.316,0.374,0.31,761,441,0,0.317,0.374,0.31,2093,1366,726
2019-05-24,0.343,0.313,0.344,775,444,0,0.334,0.328,0.337,2106,437,1668
2019-05-28,0.35,0.286,0.365,872,483,0,0.346,0.293,0.361,2313,187,2125
2019-06-01,0.358,0.276,0.367,859,475,0,0.356,0.28,0.365,2281,1133,1148
2019-06-05,0.352,0.291,0.357,779,432,0,0.351,0.293,0.356,2175,1623,552
2019-06-09,0.31,0.365,0.325,807,425,0,0.32,0.333,0.347,2194,510,1684
2019-06-13,0.372,0.252,0.376,889,458,1,0.361,0.263,0.375,2368,53,2314
